food_name,energy_kcal,carb_g,protein_g,fat_g,fibre_g
"Peanut butter, smooth",607,13.1,22.8,51.8,6.6
"Peanuts, dry roasted",590,10.3,25.7,49.8,7.6
"Tofu, soya bean, steamed",73,0.7,8.1,4.2,0
BLACK BEANS,55,15.8,3.94,0.79,5.5
"Soybeans, mature seeds, raw",446,30.2,36.5,19.9,9.3
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",378,63,20.5,6.04,12.2
ROASTED CHICKPEAS,286,60.71,17.86,7.14,21.4
Agathi leaves (Sesbania grandiflora),70.51,5.21,8.01,1.35,8.6
"Amaranth leaves, green (Amaranthus gangeticus)",30.59,2.28,3.29,0.65,4.41
"Amaranth leaves, red (Amaranthus gangeticus)",33.46,2.37,3.93,0.63,4.91
"Amaranth leaves, red and green mix (Amaranthus gangeticus)",31.55,2.87,3.09,0.53,4.6
"Amaranth spined, leaves, green (Amaranthus spinosus)",26.29,1.61,3.54,0.36,5.1
"Amaranth spined, leaves, red and green mix (Amaranthus spinosus)",23.66,1.45,2.8,0.34,5.57
Basella leaves (Basella alba),19.6,2.01,1.57,0.45,2.21
Bathua leaves (Chenopodium album),27.72,2.56,2.5,0.44,4.01
Beet greens (Beta vulgaris),34.66,3.86,2.38,0.75,3.64
"Betel leaves, big (kolkata) (Piper betle)",48.28,7.37,2.51,0.75,2.12
"Betel leaves, small (Piper betle)",43.74,6.16,2.62,0.75,1.97
Brussels sprouts (Brassica oleracea var. gemmifera),44.22,5.09,4.26,0.5,4.29
"Cabbage, Chinese (Brassica rupa)",17.93,2.36,1.58,0.13,2.01
"Cabbage, collard greens (Brassica oleracea var. viridis)",30.11,2.79,3.63,0.27,2.98
"Cabbage, green (Brassica oleracea var. capitata f. alba)",21.51,3.25,1.36,0.12,2.76
"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",23.18,3.54,1.39,0.21,2.21
Cauliflower leaves (Brassica oleracea var. botrytis),35.37,3.39,3.9,0.42,3.43
"Colocasia leaves, green (Colocasia esculenta)",43.5,3.69,3.42,1.38,5.6
Drumstick leaves (Moringa oleifera),67.4,5.62,6.41,1.64,8.21
Fenugreek leaves (Trigonella foenum graecum),34.42,2.17,3.68,0.83,4.9
Garden cress (Lepidium sativum),49.71,4.48,5.62,0.8,2.6
"Gogu leaves, green (Hibiscus cannabinus)",36.33,4.06,1.86,1.09,4.59
"Gogu leaves, red (Hibiscus cannabinus)",36.57,4.24,1.85,1.07,3.89
"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",42.54,6.16,3.12,0.35,2.76
Lettuce (Lactuca sativa),21.75,3.01,1.54,0.27,1.79
Mustard leaves (Brassica juncea),30.35,2.41,3.52,0.51,3.92
Pak Choi leaves (Brassica rapa var. chinensis),16.01,1.78,1.41,0.25,1.91
Parsley (Petroselinum crispum),72.9,9.43,5.55,1.14,3.87
Ponnaganni (Alternanthera sessilis),50.91,5.17,5.29,0.71,6.74
"Pumpkin leaves, tender (Cucurbita maxima)",44.22,4.75,4.21,0.74,2.25
Radish leaves (Raphanus sativus),26.05,2.77,2.22,0.51,1.82
Rumex leaves (Rumex patientia),19.6,2.33,1.62,0.33,1.27
Spinach (Spinacia oleracea),24.38,2.05,2.14,0.64,2.38
"Tamarind leaves, tender (Tamarindus indica)",71.46,10.04,5.84,0.49,10.7
Ambat chuka,15,1.4,1.6,0.3,0.6
Bengal gram leaves,97,14.1,7,1.4,2
Bottle gourd leaves,39,6.1,2.3,0.7,1.3
Broad bean leaves,71,11.5,5.6,0.3,3.7
Carrot leaves,77,13.1,5.1,0.5,1.9
Celery leaves,37,1.6,6.3,0.6,1.4
Chekkur manis,103,11.6,6.8,3.2,1.4
Colocasia leaves (dried),277,42.3,13.7,5.9,16
Cow pea leaves,38,4.1,3.4,0.7,1.2
Fetid cassia (fresh),49,5.5,5,0.8,2.1
Fetid cassia (dried),292,43.5,20.7,3.9,10.4
Garden sorrel (sepals),25,5.1,0.6,0.2,1.3
Ipomoea stems,19,3.4,0.9,0.2,0
Ipomoea leaves,28,3.1,2.9,0.4,1.2
Kuppameni,64,6,6.7,1.4,2.3
Manathakkali leaves,68,8.9,5.9,1,0
Mayalu,32,4.2,2.8,0.4,0
Modakonthan keerai,61,9.1,4.7,0.6,0
Mukarrate keerai,61,7.2,6.1,0.9,0
Nerringi,68,8.6,7.2,0.5,0
Paruppu keerai,27,2.9,2.4,0.6,1.3
Rape stem,29,4,3.1,0.1,0
Rape leaves,48,5.9,5.1,0.4,1.2
Rape leaves (dried),297,40.7,27,2.9,6.7
Safflower leaves,33,4.5,2.5,0.6,0
Shepu,37,5.2,3,0.5,1.1
Spinach stalks,20,3.8,0.9,0.1,0
Susni sag,46,4.6,3.7,1.4,1.3
Turnip greens,67,9.4,4,1.5,1
Ceylon pasali,31,4.3,1.9,0.7,0
Chimti sag,46,6.9,3.2,0.7,2.1
Giria sag,26,3.6,2,0.4,0.9
Gulcharni,27,4.3,1.3,0.5,1
Kasini keerat,33,4.6,1.9,0.7,0
Katha sag,24,3,1.9,0.5,1.7
Kena sag,22,2.5,2.1,0.4,0.8
Khesari leaves,55,5.5,6.1,1,2.1
Koila karha sag,36,5.2,3,0.4,1.4
Konar sag,62,9.7,3.6,1,5.5
Korla leaves,67,9,6.1,0.7,0
Manal keerai,22,2.3,2.4,0.4,2.2
Mata sag (lupu),303,57.8,7.2,4.8,13.5
Nachukotta keerai,60,9.1,4.3,0.7,0
Neem leaves mature,129,22.9,7.1,1,6.2
Neem leaves tender,158,21.2,11.6,3,2.2
Pacharisi keerai,83,12.3,4.7,1.7,0
Panna keerai,45,6,3.8,0.6,2.3
Parwar sag,55,5.8,5.4,1.1,4.2
Pasarai keerai,42,7.9,1.7,0.4,2.2
Patua sag,63,8.1,5.1,1.1,1.6
Potato leaves,40,3.6,4.4,0.9,1.3
Puliara keerai,60,7.2,4.3,1.5,0
Punnaku keerai,71,10.1,6.1,0.7,0
Perandai,37,7.3,1.2,0.3,1.8
Saravallai keerai,24,3.2,2,0.4,0.9
Sarli sag,86,14.9,4,1.1,1.5
Seemai ponnanganni,50,7.5,3.3,0.8,0
Sinduar sag,38,5.8,2,0.7,1.5
Sinduar wild,29,4.4,1.1,0.8,3.7
Sonchal sag,45,5.6,4.3,0.6,1.2
Soya leaves,72,10.8,6,0.5,0
Sweet potato greens,63,9.7,4.2,0.8,2.4
Thooduvalai keerai,40,4.6,3.9,0.7,2.3
Veethi keerai,90,13.4,7.5,0.7,2.2
Velaikeerai,68,8.8,6.5,0.8,0
Vella keerai,73,8.3,5.6,1.9,0
Water cress,33,4.9,2.9,0.2,0.6
"Broccoli, green, raw",34,3.2,4.3,0.6,4
"Watercress, raw",10,0,1.9,0.3,1.5
Ash gourd (Benincasa hispida),17.45,2.84,0.79,0.14,3.37
"Bamboo shoot, tender (Bambusa vulgaris)",16.25,1.67,1.33,0.35,1.55
"Bean scarlet, tender (Phaseolus coccineus)",42.78,5.16,2.86,0.99,4.5
"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",20.79,2.82,1.44,0.24,3.78
"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",18.88,2.53,1.34,0.24,3.49
"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",19.36,2.29,1.61,0.26,3.72
"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",10.99,1.68,0.53,0.13,2.12
"Bottle gourd, round, pale green (Lagenaria vulgaris)",13.62,2.53,0.42,0.12,2.1
"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",12.91,2.25,0.49,0.13,2.11
Brinjal-1 (Solanum melongena),27.25,3.49,1.77,0.39,3.57
Brinjal-2 (Solanum melongena),23.66,2.71,1.82,0.34,4.01
Brinjal-3 (Solanum melongena),24.38,3.38,1.36,0.33,4.26
Brinjal-4 (Solanum melongena),23.9,3.19,1.51,0.31,4.04
Brinjal-5 (Solanum melongena),26.53,4.02,1.38,0.29,4.13
Brinjal-6 (Solanum melongena),23.18,3.29,1.46,0.29,3.68
Brinjal-7 (Solanum melongena),23.42,3.1,1.4,0.37,3.32
Brinjal-8 (Solanum melongena),27.96,3.75,1.82,0.33,4.01
Brinjal-9 (Solanum melongena),25.33,3.52,1.47,0.35,4
Brinjal-10 (Solanum melongena),27.72,4.08,1.68,0.25,3.9
Brinjal-11 (Solanum melongena),25.1,3.53,1.43,0.31,4.12
Brinjal-12 (Solanum melongena),22.23,2.73,1.6,0.27,3.89
Brinjal-13 (Solanum melongena),29.64,4.51,1.49,0.31,3.92
Brinjal-14 (Solanum melongena),25.33,3.27,1.56,0.35,3.87
Brinjal-15 (Solanum melongena),27.25,3.96,1.58,0.29,3.99
Brinjal-16 (Solanum melongena),24.62,3.46,1.26,0.34,3.74
Brinjal-17 (Solanum melongena),21.75,2.89,1.18,0.36,3.94
Brinjal-18 (Solanum melongena),27.72,4.1,1.47,0.33,4.38
Brinjal-19 (Solanum melongena),23.9,3.39,1.26,0.31,3.97
Brinjal-20 (Solanum melongena),23.66,3.15,1.44,0.34,3.73
Brinjal-21 (Solanum melongena),27.01,3.93,1.36,0.35,3.85
Brinjal - all varieties (Solanum melongena),25.33,3.52,1.48,0.32,3.98
Broad beans (Vicia faba),29.4,2.11,3.85,0.15,8.63
"Capsicum, green (Capsicum annuum)",16.25,1.84,1.11,0.34,2.06
"Capsicum, red (Capsicum annuum)",19.84,2.14,1.47,0.47,2.19
"Capsicum, yellow (Capsicum annuum)",18.64,1.95,1.35,0.41,2.19
Cauliflower (Brassica oleracea var. botrytis),22.94,2.03,2.15,0.44,3.71
Celery stalk (Apium graveolens),16.49,2.33,0.98,0.24,2.09
Cho-cho-marrow (Sechium edule),18.88,3.47,0.66,0.15,1.55
Cluster beans (Cyamopsis tetragonobola),40.15,4.91,3.55,0.37,4.83
"Colocasia, stem, black (Colocasia esculenta)",23.9,3.83,0.76,0.34,3.01
"Colocasia, stem, green (Colocasia esculenta)",19.36,2.86,0.91,0.22,2.33
"Corn, Baby (Zea mays)",73.13,11.66,2.69,1.33,6.09
"Cucumber, green, elongate (Cucumis sativus)",19.6,3.48,0.71,0.16,2.14
"Cucumber, green, short (Cucumis sativus)",17.45,2.82,0.83,0.18,2.13
"Cucumber, orange, round (Cucumis sativus)",19.6,3.01,0.98,0.24,2.46
Drumstick (Moringa oleifera),29.4,3.76,2.62,0.12,6.83
"Field beans, tender, broad (Vicia faba)",30.83,2.75,3.06,0.64,5.64
"Field beans, tender, lean (Vicia faba)",33.46,2.85,3.71,0.6,6.19
"French beans, country (Phaseolus vulgaris)",24.38,2.68,2.49,0.26,4.38
"French beans, hybrid (Phaseolus vulgaris)",22.23,2.63,2.12,0.19,4.18
"Jack fruit, raw (Artocarpus heterophyllus)",26.29,3.48,1.98,0.35,7.69
"Jack fruit, seed, mature (Artocarpus heterophyllus)",76.96,11.81,5.79,0.44,8.63
Knol - Khol (Brassica oleracea),16.01,1.39,1.58,0.35,2.75
"Kovai, big (Coccinia cordifolia)",17.45,2.01,1.39,0.24,3
"Kovai, small (Coccinia cordifolia)",19.12,2.41,1.22,0.24,3.25
Ladies finger (Abelmoschus esculentus),27.49,3.62,2.08,0.22,4.08
"Mango, green, raw (Mangifera indica)",49,10.59,0.69,0.08,3.01
"Onion, stalk (Allium cepa)",25.57,2.99,2.07,0.26,5.21
"Papaya, raw (Carica papaya)",23.9,4.4,0.5,0.23,2.28
Parwar (Trichosanthes dioica),24.14,3.54,1.4,0.3,2.61
"Peas, fresh (Pisum sativum)",81.26,11.88,7.25,0.13,6.32
"Plantain, flower (Musa x paradisiaca)",21.27,2.15,1.47,0.63,5.25
"Plantain, green (Musa x paradisiaca)",79.83,17.58,1.18,0.23,3.6
"Plantain, stem (Musa x paradisiaca)",39.44,8.64,0.35,0.16,2.12
"Pumpkin, green, cylindrical (Cucurbita maxima)",24.62,4.22,0.87,0.18,2.53
"Pumpkin, orange, round (Cucurbita maxima)",23.18,4,0.84,0.16,2.56
"Red gram, tender, fresh (Cajanus cajan)",124.28,19.46,8.09,0.92,5.9
Ridge gourd (Luffa acutangula),13.15,1.72,0.91,0.14,1.81
"Ridge gourd, smooth skin (Luffa acutangula)",15.3,2.24,0.98,0.13,1.85
"Snake gourd, long, pale green (Trichosanthes anguina)",12.43,1.27,0.98,0.25,2.27
"Snake gourd, long, dark green (Trichosanthes anguina)",11.95,1.23,0.89,0.25,2.27
"Snake gourd, short (Trichosanthes anguina)",14.58,2.15,0.54,0.26,2.29
"Tinda, tender (Praecitrullus fistulosus)",13.86,1.9,1.02,0.17,2
"Tomato, green (Solanum lycopersicum)",20.79,3.18,1.12,0.27,1.62
"Tomato, ripe, hybrid (Solanum lycopersicum)",18.88,3.2,0.76,0.25,1.58
"Tomato, ripe, local (Solanum lycopersicum)",19.6,2.71,0.9,0.47,1.77
"Zucchini, green (Cucurbita pepo)",20.08,2.33,1.1,0.51,2.3
"Zucchini, yellow (Cucurbita pepo)",18.88,2.2,1.31,0.44,1.84
Cowpea pods,48,8.1,3.5,0.2,2
Double beans,85,12.3,8.3,0.3,4.3
Drumstick flowers,50,7.1,3.6,0.8,1.3
Ghosala,18,2.9,1.2,0.2,2
Kankoda,52,7.7,3.1,1,3
Karonda fresh,42,2.9,1.1,2.9,1.5
Karonda dry,364,67.1,2.3,9.6,0
Kheksa,29,6.4,0.6,0.1,1.6
"Lakuch, raw",73,13.9,1.6,1.2,2.8
"Lotus stem, dry",234,51.4,4.1,1.3,25
Leeks,77,17.2,1.8,0.1,1.3
Pink beans,44,7,3.1,0.4,2.1
Pumpkin flowers,39,5.8,2.2,0.8,0.7
"Sundakai, dry",269,55,8.3,1.7,17.6
Sword beans,44,7.8,2.7,0.2,1.5
Vegetable marrow,17,3.5,0.5,0.1,0.8
"Water chestnut, dry",330,68.9,13.4,0.8,0
Agathi flowers,26,4.4,1,0.5,0.8
Artichoke,79,16,3.6,0.1,1.2
Bagnaha,1.5,11.5,6.1,3.8,9.6
"Borooee, raw",64,14.1,1.5,0.2,2.3
Chaltha,59,13.4,0.8,0.2,2.5
Kandan kathiri,39,4.8,3.1,0.8,14.2
"Lotus seed, green and mature",57,8.8,3.9,0.7,0.9
Madapu ginja,340,22.4,20.2,18.8,0
Phutka chattoo,75,14.1,3.9,0.4,0
Nisorha flowers,61,9.3,4.7,0.5,3.3
Rhubarb stalks,26,4.3,1.1,0.5,0.3
Sanga ka phal,99,23.1,1.5,0.1,1
Sannhemp flowers,66,10.4,4.8,0.6,3.9
"Sea weeds, fresh",20,3.7,0.8,0.2,0.3
"Sea weeds, dry",255,51.2,10.8,0.8,5
Silk cotton flowers,47,9.5,1.5,0.3,1.6
Tetralobar bean,30,4.8,1.9,0.4,1.8
Water lily flowers,33,5.4,1.6,0.6,0.9
"Curly kale, raw",33,1.4,3.4,1.6,0
"Tomatoes, cherry, raw",22,3.6,1.1,0.5,1.3
"Sweetcorn, kernels, raw",60,8.1,3.4,1.8,0
"Olives, green, in brine, drained, flesh and skin",103,0,0.9,11,0
"Gherkins, pickled, drained",14,2.6,0.9,0.1,1.5
"Pickle, sweet",111,28,0.6,0.1,1.2
PITTED BLACK OLIVES,133,6.67,0,13.33,0
"Beans, broad, whole, raw",59,7.2,5.7,1,0
"Apple, big (Malus domestica)",62.38,13.11,0.29,0.64,2.59
"Apple, green (Malus domestica)",51.15,10.65,0.46,0.5,2.54
"Apple, small (Malus domestica)",63.81,13.95,0.31,0.53,2.06
"Apple, small, Kashmir (Malus domestica)",64.29,13.99,0.27,0.6,2.07
"Apricot, dried (Prunus armeniaca)",315.72,72.63,3.17,0.74,3.32
"Apricot, processed (Prunus armeniaca)",56.4,10.93,1.47,0.64,0.59
Avocado fruit (Persea sp.),144.36,1.75,2.95,13.86,6.69
Bael fruit (Aegle marmelos),135.99,28.21,2.63,0.57,6.31
"Banana, ripe, montham (Musa x paradisiaca)",110.66,24.95,1.25,0.32,2.21
"Banana, ripe, poovam (Musa x paradisiaca)",106.36,23.41,1.49,0.35,2.33
"Banana, ripe, red (Musa x paradisiaca)",111.61,25.21,1.29,0.29,1.98
"Banana, ripe, robusta (Musa x paradisiaca)",105.16,23.63,1.23,0.33,1.94
Black berry (Rubus sp.),54.25,10.64,0.92,0.63,4.35
"Cherries, red (Prunus cerasus)",59.75,11.87,1.49,0.46,2.12
"Currants, black (Ribes nigrum)",54.25,9.93,1.51,0.53,4.07
Custard apple (Annona squamosa),98.95,20.38,1.62,0.67,5.1
"Dates, dry, pale brown (Phoenix dactylifera)",320.26,74.91,2.45,0.35,8.95
"Dates, dry, dark brown (Phoenix dactylifera)",310.94,72.67,2.38,0.35,9.1
"Dates, processed (Phoenix dactylifera)",286.08,67.95,1.18,0.41,6.52
Fig (Ficus carica),81.5,16.28,2.03,0.37,4.64
Goosberry (Emblica officinalis),23.66,4.39,0.34,0.16,7.75
"Grapes, seeded, round, black (Vitis vinifera)",60.71,13.23,0.76,0.32,1.35
"Grapes, seeded, round, green (Vitis vinifera)",56.17,12.19,0.77,0.29,1.25
"Grapes, seeded, round, red (Vitis vinifera)",58.32,12.55,0.95,0.29,1.28
"Grapes, seedless, oval, black (Vitis vinifera)",94.41,20.48,1.41,0.46,1.64
"Grapes, seedless, round, green (Vitis vinifera)",53.54,11.81,0.62,0.26,1.28
"Grapes, seedless, round, black (Vitis vinifera)",89.39,19.86,1.24,0.35,1.15
"Guava, white flesh (Psidium guajava)",32.27,5.13,1.44,0.32,8.59
"Guava, pink flesh (Psidium guajava)",46.61,9.14,1.19,0.25,7.39
"Jack fruit, ripe (Artocarpus heterophyllus)",72.18,14.01,2.74,0.15,3.62
"Jambu fruit, ripe (Syzygium samarangense)",56.17,12.3,0.82,0.17,3.07
Karonda fruit (Carissa carandas),33.7,2.87,1.15,1.67,7.25
"Lemon, juice (Citrus limon)",36.57,6.97,0.41,0.75,0
"Lime, sweet,pulp (Citrus limetta)",27.25,5.18,0.76,0.2,2.07
Litchi (Nephelium litchi),53.78,11.41,0.99,0.26,1.34
"Mango, ripe, banganapalli (Mangifera indica)",41.83,8.18,0.54,0.55,1.88
"Mango, ripe, gulabkhas (Mangifera indica)",49.95,10.32,0.52,0.53,1.67
"Mango, ripe, himsagar (Mangifera indica)",44.69,9.03,0.46,0.54,1.55
"Mango, ripe, kesar (Mangifera indica)",55.21,11.36,0.54,0.57,2.02
"Mango, ripe, neelam (Mangifera indica)",42.54,8.21,0.68,0.55,1.77
"Mango, ripe, paheri (Mangifera indica)",44.93,8.67,0.68,0.58,1.97
"Mango, ripe, totapari (Mangifera indica)",59.27,12.75,0.41,0.49,1.73
Mangosteen (Garcinia mangostana),52.34,11.41,0.63,0.24,1.87
Manila tamarind (Pithecellobium dulce),81.74,13.54,3.56,1.14,4.4
"Musk melon, orange flesh (Cucumis melon)",23.18,4.24,0.42,0.35,1.51
"Musk melon, yellow flesh (Cucumis melon)",27.72,5.4,0.53,0.26,1.49
"Orange, pulp (Citrus aurantium)",37.28,7.92,0.7,0.13,1.29
"Palm fruit, tender (Borassus flabellifer)",24.14,4.92,0.5,0.12,2.4
"Papaya, ripe (Carcia papaya)",23.9,4.61,0.42,0.16,2.83
Peach (Prunus communis),40.15,7.82,0.86,0.37,2.13
Pear (Pyrus sp.),37.52,8.09,0.36,0.27,4.48
Phalsa (Grewia asiatica),71.46,15.09,1.66,0.14,4.54
Pineapple (Ananas comosus),43.02,9.42,0.52,0.16,3.46
Plum (Prunus domestica),56.88,12.1,0.64,0.4,2.07
"Pomegranate, maroon seeds (Punica granatum)",54.73,11.58,1.33,0.15,2.83
Pummelo (Citrus maxima),50.19,10.64,0.68,0.42,0.8
"Raisins, dried, black (Vitis vinifera)",305.68,71.29,2.57,0.34,3.92
"Raisins, dried, golden (Vitis vinifera)",296.6,68.79,2.76,0.35,4.56
Rambutan (Nephelium lappaceum),73.13,16.84,0.68,0.16,1.02
Sapota (Achras sapota),73.37,13.9,0.92,1.26,9.6
Soursop (Annona muricata),62.14,11.94,0.74,0.94,4.95
Star fruit (Averrhoa carambola),26.29,4.51,0.79,0.39,2.81
Strawberry (Fragaria x ananassa),24.62,3.4,0.97,0.56,2.5
"Tamarind, pulp (Tamarindus indica)",288.47,67.35,2.92,0.15,5.31
"Water melon, dark green (sugar baby) (Citrullus vulgaris)",20.32,3.86,0.6,0.16,0.7
"Water melon, pale green (Citrullus vulgaris)",16.73,3.02,0.59,0.16,0.78
Wood Apple (Limonia acidissima),78.15,7.52,3.14,3.62,5.21
Zizyphus (Zizyphus jujube),48.76,9.4,1.34,0.35,3.73
Ambada,48,4.5,0.7,3,1
Amla,58,13.7,0.5,0.1,3.4
Avocado pear,215,0.8,1.7,22.8,0
Banyan tree figs,72,11.8,1.7,2,8.5
Bilimbi,19,3.5,0.5,0.3,1
Bread fruit,71,15.8,1.5,0.2,2.1
Bullock's heart,70,15.7,1.4,0.2,5.2
Cape gooseberry,53,11.1,1.8,0.2,3.2
Grapes blue variety,58,13.1,0.6,0.4,2.8
Grapes pale green variety,71,16.5,0.5,0.3,2.9
Grape fruit marsh's seedless,45,10,1,0.1,0
Grape fruit triumph,32,7,0.7,0.1,0
"Guava, country",51,11.2,0.9,0.3,5.2
"Guava, hill",38,9,0.1,0.2,4.8
Harfarowrie,32,5.9,0.7,0.6,1.1
"Jamb, safed",19,3.7,0.1,0.4,2.2
Korukkapalli,78,16,2.7,0.4,1
Lakuch,66,13.3,0.7,1.1,2
Lemon,57,11.1,1,0.9,1.7
Lemon sweet,35,7.3,0.7,0.3,0.7
"Lichies, bastard",61,13.1,1.4,0.3,0.5
